date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
2/8/20,7:00p,New York Knicks,95,Detroit Pistons,92,,15980,
2/8/20,7:30p,New Orleans Pelicans,124,Indiana Pacers,117,,17923,
2/8/20,7:30p,Brooklyn Nets,118,Toronto Raptors,119,,19800,
2/8/20,8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,,18978,
2/8/20,8:30p,Los Angeles Lakers,125,Golden State Warriors,120,,18064,
2/8/20,9:00p,Denver Nuggets,117,Phoenix Suns,108,,16843,
2/8/20,10:00p,San Antonio Spurs,102,Sacramento Kings,122,,16756,
2/9/20,3:30p,Boston Celtics,112,Oklahoma City Thunder,111,,18203,
2/9/20,6:00p,New York Knicks,135,Atlanta Hawks,140,2OT,16309,
2/9/20,6:00p,Chicago Bulls,111,Philadelphia 76ers,118,,21018,
2/9/20,6:00p,Memphis Grizzlies,106,Washington Wizards,99,,17251,
2/9/20,7:00p,Utah Jazz,114,Houston Rockets,113,,18055,
2/9/20,7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,,17240,
2/9/20,9:00p,Miami Heat,109,Portland Trail Blazers,115,,19726,
2/10/20,7:00p,Charlotte Hornets,87,Detroit Pistons,76,,13941,
2/10/20,7:00p,Brooklyn Nets,106,Indiana Pacers,105,,16761,
2/10/20,7:00p,Atlanta Hawks,126,Orlando Magic,135,,17076,
2/10/20,7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,,19800,
2/10/20,8:00p,Sacramento Kings,111,Milwaukee Bucks,123,,17463,
2/10/20,8:30p,Utah Jazz,123,Dallas Mavericks,119,,19793,
2/10/20,9:00p,San Antonio Spurs,120,Denver Nuggets,127,,19520,
2/10/20,10:30p,Miami Heat,113,Golden State Warriors,101,,18064,
2/10/20,10:30p,Phoenix Suns,100,Los Angeles Lakers,125,,18997,
2/11/20,7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,,20730,
2/11/20,7:00p,Chicago Bulls,114,Washington Wizards,126,,15135,
2/11/20,8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,,15739,
2/11/20,8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,,18203,
2/11/20,9:30p,Boston Celtics,105,Houston Rockets,116,,18055,
2/12/20,7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,,16200,
2/12/20,7:00p,Detroit Pistons,112,Orlando Magic,116,OT,16607,
2/12/20,7:30p,Toronto Raptors,91,Brooklyn Nets,101,,15823,
2/12/20,7:30p,Milwaukee Bucks,111,Indiana Pacers,118,,17018,
2/12/20,7:30p,Washington Wizards,114,New York Knicks,96,,18835,
2/12/20,8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,,16889,
2/12/20,8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,,18978,
2/12/20,8:30p,Sacramento Kings,111,Dallas Mavericks,130,,19842,
2/12/20,9:00p,Golden State Warriors,106,Phoenix Suns,112,,15216,
2/12/20,9:00p,Miami Heat,101,Utah Jazz,116,,18306,
2/12/20,10:00p,Los Angeles Lakers,120,Denver Nuggets,116,OT,19860,
2/13/20,8:00p,Los Angeles Clippers,133,Boston Celtics,141,2OT,19156,
2/13/20,8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,,17865,
2/20/20,7:00p,Milwaukee Bucks,126,Detroit Pistons,106,,16097,
2/20/20,7:30p,Miami Heat,124,Atlanta Hawks,129,,17356,
2/20/20,8:00p,Charlotte Hornets,103,Chicago Bulls,93,,17463,
2/20/20,8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,OT,20806,
2/20/20,10:00p,Memphis Grizzlies,125,Sacramento Kings,129,,17078,
2/20/20,10:30p,Houston Rockets,135,Golden State Warriors,105,,18064,
2/21/20,7:00p,Dallas Mavericks,122,Orlando Magic,106,,18846,
2/21/20,7:00p,Cleveland Cavaliers,113,Washington Wizards,108,,18895,
2/21/20,7:30p,Indiana Pacers,106,New York Knicks,98,,19812,
2/21/20,7:30p,Phoenix Suns,101,Toronto Raptors,118,,19800,
2/21/20,8:00p,Boston Celtics,127,Minnesota Timberwolves,117,,18978,
2/21/20,8:00p,Denver Nuggets,101,Oklahoma City Thunder,113,,18203,
2/21/20,9:00p,San Antonio Spurs,113,Utah Jazz,104,,18306,
2/21/20,10:30p,Memphis Grizzlies,105,Los Angeles Lakers,117,,18997,
2/21/20,10:30p,New Orleans Pelicans,128,Portland Trail Blazers,115,,19946,
2/22/20,3:30p,Sacramento Kings,112,Los Angeles Clippers,103,,19068,
2/22/20,7:00p,Brooklyn Nets,115,Charlotte Hornets,86,,19079,
2/22/20,7:30p,Dallas Mavericks,107,Atlanta Hawks,111,,17050,
2/22/20,8:00p,Phoenix Suns,112,Chicago Bulls,104,,20506,
2/22/20,8:00p,Cleveland Cavaliers,105,Miami Heat,124,,19754,
2/22/20,8:30p,Philadelphia 76ers,98,Milwaukee Bucks,119,,18290,
2/22/20,9:00p,Houston Rockets,120,Utah Jazz,110,,18306,
2/23/20,3:30p,Boston Celtics,112,Los Angeles Lakers,114,,18997,
2/23/20,6:00p,Minnesota Timberwolves,116,Denver Nuggets,128,,19626,
2/23/20,6:00p,Indiana Pacers,81,Toronto Raptors,127,,19800,
2/23/20,7:00p,Washington Wizards,117,Chicago Bulls,126,,18024,
2/23/20,7:00p,San Antonio Spurs,103,Oklahoma City Thunder,131,,18203,
2/23/20,8:30p,New Orleans Pelicans,115,Golden State Warriors,101,,18064,
2/23/20,9:00p,Detroit Pistons,104,Portland Trail Blazers,107,,19393,
2/24/20,7:00p,Miami Heat,119,Cleveland Cavaliers,125,OT,17336,
2/24/20,7:00p,Atlanta Hawks,112,Philadelphia 76ers,129,,20836,
2/24/20,7:00p,Milwaukee Bucks,137,Washington Wizards,134,OT,16580,
2/24/20,7:30p,Orlando Magic,115,Brooklyn Nets,113,,16162,
2/24/20,8:00p,New York Knicks,112,Houston Rockets,123,,18055,
2/24/20,8:30p,Minnesota Timberwolves,123,Dallas Mavericks,139,,19936,
2/24/20,9:00p,Phoenix Suns,131,Utah Jazz,111,,18306,
2/24/20,10:30p,Memphis Grizzlies,97,Los Angeles Clippers,124,,19068,
2/25/20,7:00p,Charlotte Hornets,80,Indiana Pacers,119,,16088,
2/25/20,7:30p,Milwaukee Bucks,108,Toronto Raptors,97,,19993,
2/25/20,8:00p,Oklahoma City Thunder,124,Chicago Bulls,122,,16911,
2/25/20,9:00p,Detroit Pistons,98,Denver Nuggets,115,,19143,
2/25/20,10:00p,New Orleans Pelicans,109,Los Angeles Lakers,118,,18997,
2/25/20,10:00p,Boston Celtics,118,Portland Trail Blazers,106,,19460,
2/25/20,10:30p,Sacramento Kings,112,Golden State Warriors,94,,18064,
2/26/20,7:00p,New York Knicks,101,Charlotte Hornets,107,,13152,
2/26/20,7:00p,Philadelphia 76ers,94,Cleveland Cavaliers,108,,16332,
2/26/20,7:00p,Brooklyn Nets,106,Washington Wizards,110,,15021,
2/26/20,7:30p,Orlando Magic,130,Atlanta Hawks,120,,14967,
2/26/20,7:30p,Minnesota Timberwolves,129,Miami Heat,126,,19600,
2/26/20,8:00p,Memphis Grizzlies,112,Houston Rockets,140,,18055,
2/26/20,8:30p,Dallas Mavericks,109,San Antonio Spurs,103,,18354,
2/26/20,9:00p,Los Angeles Clippers,102,Phoenix Suns,92,,15157,
2/26/20,10:30p,Boston Celtics,114,Utah Jazz,103,,18306,
2/27/20,7:00p,New York Knicks,106,Philadelphia 76ers,115,,20175,
2/27/20,8:00p,Portland Trail Blazers,100,Indiana Pacers,106,,16872,
