date,away,home,period,time,challenging,challenge_type,result,link
11/6/19,MIL,LAC,4th,7:18,LAC,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_LAC_LA_Clippers_Offensive_Foul_Challenge_110619
11/6/19,MIL,LAC,4th,2:27,MIL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_LAC_Milwaukee_Offensive_Foul_Challenge_110619
11/6/19,NYK,DET,4th,6:36,NYK,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NYK_DET_New_York_Defensive_Foul_Challenge_110619
11/6/19,SAC,TOR,3rd,650,TOR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAC_TOR_Toronto_Defensive_Foul_Challenge_110619
11/6/19,ORL,DAL,3rd,8:30,ORL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ORL_DAL_Orlando_Defensive_Foul_Challenge_110619
11/6/19,PHI,UTA,4th,9:59,UTA,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_UTA_Utah_Defensive_Foul_Challenge_110619
11/6/19,MIN,MEM,3rd,9:27,MIN,BI,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIN_MEM_Minnesota_Basket_Interference_Challenge_110619
11/5/19,MIA,DEN,4th,8:07,DEN,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_DEN_Denver_Defensive_Foul_Challenge_110519
11/4/19,DET,WAS,3rd,9:44,DET,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DET_WAS_Detroit_Defensive_Foul_Challenge_110419
11/4/19,MIL,MIN,2nd,0:01,MIL,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_MIN_Milwaukee_Offensive_Foul_Challenge_110419
11/4/19,HOU,MEM,4th,2:17,HOU,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_MEM_Houston_Defensive_Foul_Challenge_110419
11/4/19,PHI,PHX,4th,2:33,PHX,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_PHX_Pheonix_Defensive_Foul_Challenge_110419
11/3/19,CHI,IND,4th,10:37,IND,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_CHI_IND_Indiana_Defensive_Foul_Challenge_110319
11/3/19,SAC,NYK,2nd,6:34,NYK,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_SAC_NYK_New_York_Defensive_Foul_Challenge_110319
11/3/19,UTA,LAC,4th,3:04,UTA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_UTA_LAC_Utah_Offensive_Foul_Challenge_110319
11/2/19,PHI,POR,4th,:10,POR,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHI_POR_Portland_Defensive_Foul_Challenge_110219
11/2/19,TOR,MIL,4TH,1:41,TOR,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_TOR_MIL_Toronto_Defensive_Foul_Challenge_110219
11/2/19,DEN,ORL,2nd,4:19,ORL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DEN_ORL_Orlando_Defensive_Foul_Challenge_110219
11/2/19,NOP,OKC,2nd,7:52,OKC,GT,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NOP_OKC_Oklahoma_City_Goaltending_Challenge_110219
11/1/19,NYK,BOS,4th,3:36,BOS,OB,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_NYK_BOS_Boston_OOB_Challenge_110119
10/31/19,MIA,ATL,2nd,3:21,MIA,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIA_ATL_Miami_Offensive_Foul_Challenge_103119
10/30/19,CHI,CLE,3rd,3:14,CHI,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_CHI_CLE_Chicago_Defensive_Foul_Challenge_103019
10/30/19,MIN,PHI,4th,6:01,PHI,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIN_PHX_Philadelphia_Offensive_Foul_Challenge_103019
10/30/19,DET,TOR,4th,5:36,TOR,OB,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_DET_TOR_Toronto_Out_of_Bounds_Challenge_103019
10/30/19,IND,BKN,2nd,:29,BKN,Foul,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_BKN_Brooklyn_Defensive_Foul_Challenge_103019
10/30/19,IND,BKN,4th,10:20,IND,OB,Successful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_IND_BKN_Indiana_Out_of_Bounds_Challenge_103019
10/30/19,MIL,BOS,2nd,:01,BOS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_MIL_BOS_Boston_Defensive_Foul_Challenge_103019
10/30/19,HOU,WAS,2nd,6:16,WAS,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_WAS_Washington_Defensive_Foul_Challenge_103019
10/30/19,HOU,WAS,4th,:08,HOU,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_HOU_WAS_Houston_Defensive_Foul_Challenge_103019
10/30/19,PHX,GSW,4th,3:32,GSW,OB,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_PHX_GSW_Golden_State_Out_of_Bounds_Challenge_103019
10/29/19,ATL,MIA,4th,8:23,ATL,Foul,Unsuccessful,https://dmmx2.nba.com/videourlredirect?&project=/bbops/bbops_ATL_MIA_Atlanta_Defensive_Foul_Challenge_102919
